ID,DESCRIPTION,Attribut1,Additional Feature,Application,Characteristic,Temp,Height,Length in mm,Rating,Material,Size,Code,Joule-integral-Nom (J),LC Risk,Maximum AC Voltage Rating,Maximum DC Voltage Rating,Maximum Power Dissipation,Mounting,Mounting Feature,Number of Terminals,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Physical Dimension,Pre-arcing time-Min (ms),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V),Attribut1_Original
A636,"Indicator Chip Very Fast Movement 3.5A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL Electric Indicator, Very Fast Blow, 3.5A, 32VAC, 32VDC, 35A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.81mm,0.31mm,1.6mm,3.5A,Epoxy,1.6 X 0.81 X 0.31mm,e3,0.265J,High,32V,32V,,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.6mm  x  0.81mm  x  0.31mm,,,1.6mm,35A,3.5A,,32V,32V,Very Fast
A637,Indicator Chip Very Fast Movement 3.5A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL ,Very Fast,NA,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,,,,,3.5A,Epoxy,1.6 X 0.81 X 0.31mm,,,High,32V,32V,,Surface Mount,,2.0,,,,,,1.6mm,,,,,,Very Fast
A638,,,RATED BREAKING CAPACITY AT 32 VDC: 35 A,,VERY FAST,0.813mm,0.305mm,1.6mm,,,,e0,0.032J,High,,,,,SURFACE MOUNT,,90Cel,-55Cel,1.6mm  x  0.813mm  x  0.305mm,,,,35A,1.25A,,32V,32V,
A639,"Indicator Chip Very Fast Movement 1.25A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL Electric Indicator, Very Fast Blow, 1.25A, 32VAC, 32VDC, 35A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.81mm,0.31mm,1.6mm,1.25A,Epoxy,1.6 X 0.81 X 0.31mm,e3,0.032J,High,32V,32V,,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.6mm  x  0.81mm  x  0.31mm,,,1.6mm,35A,1.25A,,32V,32V,Very Fast
A640,Indicator Chip Very Fast Movement 1.25A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL ,Very Fast,NA,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,,,,,1.25A,Epoxy,1.6 X 0.81 X 0.31mm,,,High,32V,32V,,Surface Mount,,2.0,,,,,,1.6mm,,,,,,Very Fast
A641,"Indicator Chip Very Fast Movement 1.75A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL Electric Indicator, Very Fast Blow, 1.75A, 32VAC, 32VDC, 35A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.81mm,0.31mm,1.6mm,1.75A,Epoxy,1.6 X 0.81 X 0.31mm,e3,0.0661J,High,32V,32V,,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.6mm  x  0.81mm  x  0.31mm,,,1.6mm,35A,1.75A,,32V,32V,Very Fast
A642,Indicator Chip Very Fast Movement 1.75A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL ,Very Fast,NA,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,,,,,1.75A,Epoxy,1.6 X 0.81 X 0.31mm,,,High,32V,32V,,Surface Mount,,2.0,,,,,,1.6mm,,,,,,Very Fast
A643,,Very Fast,NA,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,,,,,0.25A,Epoxy,1.6 X 0.81 X 0.31mm,,,,32V,32V,,,,,,,,,,,,,,,,Very Fast
A644,"Indicator Chip Very Fast Movement 0.25A 32V SMD Solder Pad 0603 Epoxy T/R CSA Electric Indicator, Very Fast Blow, 0.25A, 32VAC, 32VDC, 50A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 50 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.81mm,0.31mm,1.6mm,0.25A,Epoxy,1.6 X 0.81 X 0.31mm,e3,0.003J,High,32V,32V,,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.6mm  x  0.81mm  x  0.31mm,,,1.6mm,50A,0.25A,,32V,32V,Very Fast
A645,Indicator Chip Very Fast Movement 0.25A 32V SMD Solder Pad 0603 Epoxy T/R CSA ,Very Fast,NA,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,,,,,0.25A,Epoxy,1.6 X 0.81 X 0.31mm,,,High,32V,32V,,Surface Mount,,2.0,,,,,,1.6mm,,,,,,Very Fast
A646,,,RATED BREAKING CAPACITY AT 32 VDC: 50 A,,VERY FAST,0.813mm,0.305mm,1.6mm,,,,e0,0.0053J,High,,,,,SURFACE MOUNT,,90Cel,-55Cel,1.6mm  x  0.813mm  x  0.305mm,,,,50A,0.375A,,32V,32V,
A647,"Indicator Chip Very Fast Movement 0.375A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL Electric Indicator, Very Fast Blow, 0.375A, 32VAC, 32VDC, 50A (IR), Supplemental, Surface Mount, 0603",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 50 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.81mm,0.31mm,1.6mm,0.375A,Epoxy,603,e0,0.0053J,High,32V,32V,,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.6mm  x  0.81mm  x  0.31mm,,,1.6mm,50A,0.375A,32V,32V,32V,Very Fast
A648,Indicator Chip Very Fast Movement 0.375A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL ,Very Fast,NA,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,,,,,0.375A,Epoxy,1.6 X 0.81 X 0.31mm,,,High,32V,32V,,Surface Mount,,2.0,,,,,,1.6mm,,,,,,Very Fast
A649,,Very Fast,NA,Height Critical Applications,,,,,0.5A,Epoxy,1.6 X 0.81 X 0.31mm,,,,32V,,,,,,,,,,,,,,,,,Very Fast
A650,,Very Fast,NA,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,,,,,0.5A,Epoxy,1.6 X 0.81 X 0.31mm,,,,32V,32V,,,,,,,,,,,,,,,,Very Fast
A651,"Indicator Chip Very Fast Movement 0.5A 32V SMD Solder Pad 0603 Epoxy T/R CSA Electric Indicator, Very Fast Blow, 0.5A, 32VAC, 32VDC, 50A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 50 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.81mm,0.31mm,1.6mm,0.5A,Epoxy,1.6 X 0.81 X 0.31mm,e3,0.0087J,High,32V,32V,,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.6mm  x  0.81mm  x  0.31mm,,,1.6mm,50A,0.5A,,32V,32V,Very Fast
A652,Indicator Chip Very Fast Movement 0.5A 32V SMD Solder Pad 0603 Epoxy T/R CSA ,Very Fast,NA,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,,,,,0.5A,Epoxy,1.6 X 0.81 X 0.31mm,,,High,32V,32V,,Surface Mount,,2.0,,,,,,1.6mm,,,,,,Very Fast
A653,"Indicator Chip Very Fast Movement 0.68A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL Electric Indicator, Very Fast Blow, 0.68A, 32VAC, 32VDC, 50A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 50 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.81mm,0.31mm,1.6mm,0.68A,Epoxy,1.6 X 0.81 X 0.31mm,e3,0.0109J,High,32V,32V,,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.6mm  x  0.81mm  x  0.31mm,,,1.6mm,50A,0.68A,,32V,32V,Very Fast
A654,Indicator Chip Very Fast Movement 0.68A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL ,Very Fast,NA,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,,,,,0.68A,Epoxy,1.6 X 0.81 X 0.31mm,,,High,32V,32V,,Surface Mount,,2.0,,,,,,1.6mm,,,,,,Very Fast
A655,,Very Fast,NA,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,,,,,0.75A,Epoxy,1.6 X 0.81 X 0.31mm,,,,32V,32V,,,,,,,,,,,,,,,,Very Fast
A656,"Indicator Chip Very Fast Movement 0.75A 32V SMD Solder Pad 0603 Epoxy T/R CSA Electric Indicator, Very Fast Blow, 0.75A, 32VAC, 32VDC, 50A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 50 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.81mm,0.31mm,1.6mm,0.75A,Epoxy,1.6 X 0.81 X 0.31mm,e3,0.0171J,High,32V,32V,,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.6mm  x  0.81mm  x  0.31mm,,,1.6mm,50A,0.75A,,32V,32V,Very Fast
A657,Indicator Chip Very Fast Movement 0.75A 32V SMD Solder Pad 0603 Epoxy T/R CSA ,Very Fast,NA,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,,,,,0.75A,Epoxy,1.6 X 0.81 X 0.31mm,,,High,32V,32V,,Surface Mount,,2.0,,,,,,1.6mm,,,,,,Very Fast
A658,"Indicator Chip Very Fast Movement 1A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 1A, 32VDC, 35A (IR), Surface Mount, 0402",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,1A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.02J,Low,,32V,0.08745W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,35A,1A,32V,,32V,Very Fast
A659,"Indicator Chip Very Fast Movement 1A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 1A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.0200",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,1A,Epoxy Glass,NANO,e3,0.02J,Low,,32V,0.08745W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,1A,32V,,32V,Very Fast
A660,,,RATED BREAKING CAPACITY AT 24 VDC: 35 A,,VERY FAST,0.51mm,0.3mm,1.04mm,,,,,0.1J,Low,,,,,SURFACE MOUNT,,90Cel,-55Cel,1.04mm  x  0.51mm  x  0.3mm,,,,35A,2A,,,24V,
A661,"Indicator Chip Very Fast Movement 2A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 2A, 32VDC, 35A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,2A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.1J,Low,,32V,0.1412W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,35A,2A,,,32V,Very Fast
A662,"Indicator Chip Very Fast Movement 2A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 2A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.1000",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,2A,Epoxy Glass,NANO,e3,0.1J,Low,,32V,0.1412W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,2A,32V,,32V,Very Fast
A663,"Indicator Chip Very Fast Movement 3A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 3A, 32VDC, Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,3A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.2032J,Low,,32V,0.1874W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,,3A,,,32V,Very Fast
A664,"Indicator Chip Very Fast Movement 3A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 3A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.2032",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,3A,Epoxy Glass,NANO,e3,0.2032J,Low,,32V,0.1874W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,3A,32V,,32V,Very Fast
A665,"Indicator Chip Very Fast Movement 4A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 4A, 32VDC, Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,4A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.3084J,Low,,32V,0.228W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,,4A,,,32V,Very Fast
A666,"Indicator Chip Very Fast Movement 4A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 4A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.3084",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,4A,Epoxy Glass,NANO,e3,0.3084J,Low,,32V,0.228W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,4A,32V,,32V,Very Fast
A667,"Indicator Chip Very Fast Movement 5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 5A, 32VDC, Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,5A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.531J,Low,,32V,0.2622W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,,5A,,,32V,Very Fast
A668,"Indicator Chip Very Fast Movement 5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 5A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.5310",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,5A,Epoxy Glass,NANO,e3,0.531J,Low,,32V,0.2622W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,5A,32V,,32V,Very Fast
A669,,,RATED BREAKING CAPACITY AT 24 VDC: 35 A,,VERY FAST,0.51mm,0.3mm,1.04mm,,,,,0.056J,Low,,,,,SURFACE MOUNT,,90Cel,-55Cel,1.04mm  x  0.51mm  x  0.3mm,,,,35A,1.5A,,,24V,
A670,"Indicator Chip Very Fast Movement 1.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 1.5A, 32VDC, 35A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,1.5A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.056J,Low,,32V,0.13005W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,35A,1.5A,,,32V,Very Fast
A671,"Indicator Chip Very Fast Movement 1.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 1.5A, 32VDC, 35A (IR), Surface Mount",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.0560",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,1.5A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.056J,Low,,32V,0.13005W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,1.5A,,,32V,Very Fast
A672,"Indicator Chip Very Fast Movement 2.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 2.5A, 32VDC, Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,2.5A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.156J,Low,,32V,0.13813W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,,2.5A,,,32V,Very Fast
A673,"Indicator Chip Very Fast Movement 2.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 2.5A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.1560",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,2.5A,Epoxy Glass,NANO,e3,0.156J,Low,,32V,0.13813W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,2.5A,32V,,32V,Very Fast
A674,"Indicator Chip Very Fast Movement 3.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 3.5A, 32VDC, Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,3.5A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.3017J,Low,,32V,0.20244W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,,3.5A,,,32V,Very Fast
A675,"Indicator Chip Very Fast Movement 3.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 3.5A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.3017",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,3.5A,Epoxy Glass,NANO,e3,0.3017J,Low,,32V,0.20244W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,3.5A,32V,,32V,Very Fast
A676,,,RATED BREAKING CAPACITY AT 24 VDC: 35 A,,VERY FAST,0.51mm,0.3mm,1.04mm,,,,,0.035J,Low,,,,,SURFACE MOUNT,,90Cel,-55Cel,1.04mm  x  0.51mm  x  0.3mm,,,,35A,1.25A,,,24V,
A677,"Indicator Chip Very Fast Movement 1.25A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 1.25A, 32VDC, 35A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,1.25A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.035J,Low,,32V,0.12046W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,35A,1.25A,,,32V,Very Fast
A678,"Indicator Chip Very Fast Movement 1.25A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 1.25A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.0350",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,1.25A,Epoxy Glass,NANO,e3,0.035J,Low,,32V,0.12046W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,1.25A,32V,,32V,Very Fast
A679,,,RATED BREAKING CAPACITY AT 24 VDC: 35 A,,VERY FAST,0.51mm,0.3mm,1.04mm,,,,,0.075J,Low,,,,,SURFACE MOUNT,,90Cel,-55Cel,1.04mm  x  0.51mm  x  0.3mm,,,,35A,1.75A,,,24V,
A680,"Indicator Chip Very Fast Movement 1.75A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 1.75A, 32VDC, 35A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,1.75A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.075J,Low,,32V,0.14198W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,35A,1.75A,,,32V,Very Fast
A681,"Indicator Chip Very Fast Movement 1.75A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 1.75A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.0750",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,1.75A,Epoxy Glass,NANO,e3,0.075J,Low,,32V,0.14198W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,1.75A,32V,,32V,Very Fast
A682,"Indicator Chip Very Fast Movement 0.25A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 0.25A, 32VDC, 35A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,0.25A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.0025J,High,,32V,0.01517W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,35A,0.25A,,,32V,Very Fast
A683,"Indicator Chip Very Fast Movement 0.25A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 0.25A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.0025",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,0.25A,Epoxy Glass,NANO,e3,0.0025J,High,,32V,0.027635W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,0.25A,32V,,32V,Very Fast
A684,"Indicator Chip Very Fast Movement 0.25A SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 0.25A, 32VAC, 32VDC, 35A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.51mm,0.3mm,0.99mm,0.25A,Epoxy Glass,25.17 X 12.9 X 7.75mm,,0.003J,Low,,32V,0.01517W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,25.17mm,35A,0.25A,,32V,32V,Very Fast
A685,,Very Fast,NA,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,,,,,0.25A,Epoxy Glass,25.17 X 12.9 X 7.75mm,,,,,32V,0.01517W,Surface Mount,,2.0,,,,,,25.17mm,,,,,,Very Fast
A686,,,RATED BREAKING CAPACITY AT 24 VDC: 35 A,,VERY FAST,0.51mm,0.3mm,1.04mm,,,,,0.0035J,Low,,,,,SURFACE MOUNT,,90Cel,-55Cel,1.04mm  x  0.51mm  x  0.3mm,,,,35A,0.375A,,,24V,
A687,"Indicator Chip Very Fast Movement 0.375A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 0.375A, 32VDC, 35A (IR), Surface Mount, 0402",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,0.375A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.0035J,Low,,32V,0.03174W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,35A,0.375A,32V,,32V,Very Fast
